ID,earn,height,sex,race,ed,age
114,33438.21009,70.97,male,white,12,26
115,34374.0791,63.91,female,black,17,47
116,58834.16685,68.22,male,white,11,41
117,61429.18541,68.43,female,white,17,48
118,28014.73456,65.53,female,hispanic,14,47
119,981.6567037,66.13,female,white,12,33
120,996.1821113,66.31,female,other,16,36
121,50924.65836,77.12,male,white,16,34
122,44729.61505,67.17,female,white,12,62
123,27223.3657,62.11,female,white,12,48
124,1007.70988,64.5,female,white,17,34
125,996.8286018,71.96,female,white,12,55
126,40750.02264,67.42,female,white,18,39
127,43929.45419,61.17,female,white,18,47
128,8949.671016,63.6,female,white,12,32
129,112309.6607,61.91,female,white,16,42
130,8939.554976,62.83,female,white,12,44
131,7932.571034,67.83,male,white,16,28
132,32800.80235,63.71,female,white,15,30
133,6359.005983,71.36,male,white,15,25
134,96383.07642,64,female,white,16,39
135,8967.876472,60.96,female,white,13,35
136,47691.87646,74.21,male,white,12,42
137,111283.2594,70.25,male,white,14,39
138,79481.94082,71.08,male,white,16,45
139,70960.34209,62.85,female,white,12,43
140,48722.16772,63.61,female,white,14,47
141,997.8911126,62.03,female,white,16,36
142,16912.15557,62.08,female,white,16,44
143,37573.29907,70.15,female,white,17,46
144,1005.10722,62.1,female,white,12,43
145,71548.08766,70.76,male,white,17,66
146,23878.81118,71.04,male,white,14,35
147,7344.957579,69.86,female,white,14,75
148,26877.87018,67.02,male,white,14,35
149,48708.52563,64.16,female,white,12,36
150,44711.13954,67.09,female,white,12,34
151,10044.72251,62.1,female,white,8,73
152,29611.17677,61.76,female,hispanic,13,60
153,68256.89671,67.95,male,black,13,48
154,51888.97131,62.5,female,black,14,48
155,995.4657572,66.19,female,black,5,55
156,16887.14573,68.16,female,black,18,60
157,95449.61023,74.23,male,white,13,49
158,34383.70452,68.07,female,other,12,54
159,4807.831331,61.74,female,white,16,26
160,2587.631853,65.9,female,white,15,32
161,42922.56794,68.18,male,white,12,31
162,11485.99452,60.18,female,hispanic,14,32
163,25447.4653,67.55,male,white,8,47
164,143095.8521,72.09,male,white,12,30
165,13720.50537,66.27,female,white,12,46
166,31829.28833,67.86,male,white,10,36
167,24858.22699,67.47,female,white,12,22
168,20078.96619,69.1,female,white,12,64
169,39165.2382,64.15,female,white,16,50
170,32794.54065,65.02,female,white,14,43
171,31207.45009,61.19,female,white,12,50
172,15970.26223,71.89,male,white,12,53
173,64610.35798,66.19,female,white,16,38
174,991.6289097,61.91,female,white,10,61
175,995.0909106,59.91,female,hispanic,10,52
176,39783.94695,67.85,male,white,14,68
177,39684.62413,70.08,male,white,12,28
178,39724.6811,71.13,male,white,14,36
179,30201.51724,71.51,male,white,16,65
180,70051.75089,68.28,male,white,16,52
181,1007.957146,65.81,female,white,12,23
182,1012.931152,63.07,female,white,18,59
183,24854.2036,60.32,female,white,14,53
184,28036.27308,63.06,female,white,12,40
185,38198.2508,67.61,male,white,12,60
186,37585.52111,63.65,female,white,12,41
187,20628.29552,70.44,male,white,12,78
188,103375.8778,67.81,male,white,16,50
189,12129.46412,60.95,female,white,12,67
190,63635.65709,67.78,male,white,18,67
191,24843.75433,66.4,female,white,17,47
192,31795.57881,69.7,male,white,16,29
193,31852.20623,70.62,male,white,12,54
194,32804.65455,64.76,female,white,12,46
195,40747.14078,66.06,female,white,12,53
196,77889.57639,69.9,male,white,13,41
197,1010.190899,63.84,female,white,12,40
198,1009.691869,63,female,white,16,39
199,40750.88305,61.39,female,white,12,69
200,18480.68245,66.26,female,white,14,61
201,26423.12934,60.8,female,white,15,42
202,55572.03621,72,male,white,14,47
203,198835.4339,74.22,male,white,18,49
204,37566.53669,66.83,female,white,12,51
205,28022.23751,66.01,female,white,16,32
206,1016.491013,62.09,female,white,13,35
207,43933.83837,62.21,female,white,12,45
208,111301.9251,72.23,male,white,14,36
209,56639.28749,65.17,female,white,15,51
210,16899.23075,60.07,female,white,12,66
211,56646.5578,61.91,female,white,15,43
212,24858.29737,66.01,female,white,12,42
213,20065.304,64.06,female,white,12,43
214,12641.14837,71.01,male,white,12,72
215,13742.37332,65.32,female,white,12,54
216,55575.09082,73.15,male,white,18,54
217,71500.59892,68.92,male,white,11,55
218,997.0724565,64.04,female,white,12,62
219,24845.73921,64.09,female,white,14,26
220,24831.14446,61.37,female,white,12,81
221,39143.60766,67.06,female,white,18,55
222,40770.58602,61.68,female,white,13,36
223,40764.77855,62.82,female,black,14,58
224,31727.70358,66.64,male,other,10,32
225,39154.25445,67.86,female,white,12,28
226,69902.47521,72.3,male,white,16,50
227,109708.7488,69.94,male,white,12,42
228,98535.10683,69.96,male,white,18,48
229,50919.6738,67.17,male,black,14,36
230,32810.04396,62.83,female,black,12,37
231,51892.94239,65.68,female,other,18,39
232,40756.0695,65.9,female,white,17,54
233,270275.8942,71.07,male,white,18,49
234,1001.225118,66.07,female,black,11,33
235,55728.58992,66.9,male,white,16,37
236,63516.27935,76.48,male,black,16,42
237,52438.92296,68.71,male,white,14,34
238,29615.61538,65.41,female,white,12,26
239,48695.6589,61.92,female,white,13,47
240,42341.78929,61.97,female,white,12,35
241,8962.402456,61.72,female,white,12,25
242,32800.63557,62.29,female,white,16,77
243,28011.6417,60.95,female,white,12,34
244,51878.81329,65.16,female,white,14,32
245,23868.14739,72,male,white,14,26
246,981.1949001,65.92,female,white,17,45
247,79510.34066,72.13,male,white,14,59
248,13722.14136,63.85,female,white,12,43
249,63693.41109,71.29,male,white,14,55
250,63610.475,72.43,male,white,15,45
251,52085.52946,65.85,male,white,12,38
252,32803.47923,65,female,white,14,73
253,58230.58792,64.9,female,black,15,43
254,10542.89021,61.48,female,white,12,68
255,20095.54583,65.97,female,black,14,38
256,95430.61042,66.78,male,white,14,67
257,64613.06682,64.3,female,white,13,48
258,69383.42585,63.28,female,white,12,42
259,72549.362,67.36,female,white,16,38
260,10522.9175,67.83,female,white,18,43
261,13718.45439,64.51,female,other,10,86
262,32796.95087,63.87,female,black,13,43
263,27064.54982,66.1,male,black,12,27
264,4182.394235,65.48,female,white,12,36
265,103364.4764,64.43,male,white,12,32
266,79469.68267,72.13,male,white,12,45
267,998.6825584,67.92,female,white,11,58
268,998.6844955,62.69,female,white,11,33
269,18477.78033,67.83,female,white,12,42
270,55628.23092,74.41,male,white,18,34
271,42838.86077,63.1,male,white,12,37
272,6565.331235,63.75,female,white,12,65
273,66836.76025,68.19,male,white,12,41
274,32800.53584,66.94,female,white,18,33
275,24847.46757,66.65,female,white,12,33
276,15859.53144,72.86,male,white,12,25
277,1003.641674,62.21,female,white,12,52
278,9490.296904,69.22,male,white,8,82
279,28032.18686,64.95,female,hispanic,16,27
280,55589.09431,68.9,male,hispanic,16,69
281,44516.1125,77.02,male,white,14,32
282,24848.51502,68.07,female,white,12,37
283,32819.85184,62.2,female,white,17,28
284,32807.46667,64.07,female,white,12,33
285,16671.50113,66.55,male,hispanic,12,46
286,20550.11504,70.19,male,white,16,26
287,16894.14542,62.2,female,white,12,56
288,5768.926659,62.71,female,white,12,41
289,39157.58192,61.99,female,white,14,33
290,998.5033874,62.81,female,white,17,45
291,28024.60101,68.84,female,white,13,39
292,18494.09614,64.28,female,white,12,52
293,1028.796709,64.52,female,white,14,41
294,51883.97214,68.63,female,white,14,44
295,28035.16406,59.06,female,white,15,30
296,5764.826401,66.36,female,other,12,39
297,1000.438447,64.97,female,white,12,45
298,4330.563274,62,female,black,12,25
299,5042.872885,75.18,male,black,11,38
300,28044.01761,62.99,female,white,17,30
301,48696.6895,65.03,female,white,13,32
302,23793.59629,70.02,male,white,12,36
303,39169.72061,68.32,female,white,16,46
304,16889.51586,65.01,female,white,14,71
305,79469.65242,69.22,male,white,8,57
306,79521.03099,71.7,male,white,16,57
307,32811.11716,63.65,female,white,17,53
308,48692.70459,62.84,female,hispanic,18,58
309,1000.81651,63.41,female,white,12,67
310,1019.521751,65.4,female,white,10,52
311,986.0550834,63.07,female,white,5,62
312,35986.0131,73.2,female,white,14,49
313,42903.38178,74.77,male,white,12,28
314,7363.895202,65.14,female,white,12,42
315,28828.8892,66.55,female,white,17,30
316,27220.07463,65.93,female,white,14,32
317,45524.39106,63.91,female,white,16,43
318,83682.96353,66.1,female,white,18,54
319,24854.28624,63.68,female,white,16,33
320,31210.04502,62.71,female,white,13,36
321,998.792807,62.75,female,white,13,48
322,42834.45043,72.72,male,white,12,27
323,23793.05683,72,male,white,8,62
324,1004.688193,66.06,female,white,12,28
325,23873.56732,71.94,male,white,14,37
326,24035.95899,63.9,female,white,12,59
327,39149.81271,64.24,female,white,13,34
328,28581.71976,68.16,male,white,15,40
329,7351.362244,61.96,female,white,12,72
330,7350.343896,68.48,female,white,13,61
331,2098.282557,59.46,female,white,12,40
332,39169.75014,64.79,female,white,12,95
333,42926.38696,76.09,male,white,12,43
334,20091.49317,71.41,female,white,12,39
335,35985.2005,62.08,female,white,18,51
336,48698.20427,62.21,female,white,13,40
337,55616.97248,71.55,male,white,12,65
338,31836.53096,73.79,male,white,12,46
339,51897.55712,65.16,female,white,16,36
340,10565.08035,62.79,female,other,12,35
341,20084.36314,66.52,female,white,12,43
342,989.32483,65.05,female,white,16,48
343,16893.65062,62.93,female,white,12,35
344,2583.37636,65.01,female,white,12,22
345,20057.94699,63.83,female,white,15,75
346,26434.53563,65.19,female,white,12,40
347,990.6328299,67.9,female,white,16,45
348,40730.78692,62.87,female,white,16,37
349,40751.8596,69.96,female,white,12,31
350,50933.48795,68.62,male,white,12,34
351,55621.93741,66.75,male,white,14,47
352,10538.83672,65.05,female,white,12,32
353,127210.6277,69.39,male,white,14,48
354,32799.58803,67.7,female,white,14,29
355,2598.335978,66.37,female,white,17,42
356,44502.68754,71.38,male,hispanic,13,42
357,41290.7032,63.87,male,hispanic,16,27
358,42946.13843,74.16,male,white,12,28
359,29617.12421,61.92,female,white,13,45
360,4203.924936,64.84,female,white,12,63
361,31774.6724,69.09,male,white,12,70
362,10547.65934,66.08,female,white,16,52
363,998.2229373,60.16,female,white,10,72
364,39793.23607,66.6,male,white,11,67
365,19083.06627,72.94,male,white,12,33
366,982.6037071,65.13,female,white,18,30
367,19019.43835,76.02,male,white,12,61
368,47621.5507,70.14,male,white,14,80
369,1002.027896,64.18,female,white,12,34
370,7352.906096,63,female,black,15,26
371,42344.14122,62.96,female,black,13,41
372,36597.11851,70.04,male,black,12,39
373,33372.93631,71.27,male,white,12,37
374,40755.66012,65.19,female,white,12,66
375,28578.77725,69.48,male,white,16,79
376,7372.742449,63.48,female,white,13,48
377,39006.15414,64.11,female,white,12,26
378,56653.76131,63.44,female,white,18,44
379,41312.41171,67.15,male,white,14,34
380,39767.88412,65.82,male,white,16,40
381,38374.92649,68.18,female,white,13,31
382,20079.9008,64.7,female,white,12,26
383,24856.38526,66.85,female,white,12,24
384,4771.497985,72.62,male,white,17,27
385,10538.59979,63.68,female,white,12,71
386,22284.68986,70.77,male,white,12,73
387,24851.19454,63.17,female,white,16,35
388,278213.5318,71.05,male,white,16,52
389,1012.728575,62.7,female,white,12,55
390,1605.964933,72.85,male,white,18,29
391,16899.98385,64.92,female,white,14,67
392,71575.5886,65.94,male,white,13,86
393,24854.25818,66.21,female,white,12,85
394,32804.55237,59,female,white,13,45
395,55626.75073,69.9,male,white,16,34
396,63619.6598,71.96,male,white,16,32
397,56660.05172,64.27,female,white,12,76
398,80491.70592,65.48,female,white,16,58
399,159001.9299,69.42,male,white,18,61
400,55744.07026,69.09,male,white,13,32
401,1019.393703,65.85,female,white,12,55
402,39166.08921,68.19,female,white,12,39
403,994.9541677,64.15,female,white,12,34
404,1016.641675,63.06,female,white,12,64
405,55597.07755,73.86,male,white,17,47
406,60429.42167,72.55,male,white,16,78
407,47666.46944,67.35,male,white,12,56
408,8958.406833,64.3,female,hispanic,12,43
409,235388.7192,66.72,male,white,18,42
410,47782.44652,69.45,male,white,12,36
411,11338.94704,63.76,female,white,15,35
412,5765.713783,61.71,female,white,16,41
413,986.4551654,65.94,female,white,8,57
414,36713.08783,69.45,male,white,18,73
415,63544.16009,67.69,male,white,17,45
416,47713.27462,71.77,male,white,14,43
417,998.3461148,63.09,female,white,14,33
418,23257.55906,63.09,female,white,12,41
419,24843.79236,68.86,female,white,12,38
420,42347.40103,63.75,female,white,18,40
421,13720.56149,71.45,female,white,12,29
422,39159.79683,63.98,female,black,16,31
423,-12.01671378,72.08,male,white,8,24
424,1013.271477,62.27,female,white,12,29
425,988.758787,65.93,female,white,10,42
426,8181.730282,65.8,male,white,8,71
427,16889.81033,60.72,female,white,15,29
428,1016.502739,69.1,female,white,13,23
429,20100.26426,68.3,female,white,16,36
430,999.8453884,65.9,female,white,12,27
431,79521.03475,67.87,male,white,17,38
432,37551.8484,63.61,female,white,13,30
433,1016.373107,61,female,white,16,44
434,63578.59627,65.98,male,black,14,38
435,10543.65189,61.86,female,black,13,30
436,8955.40315,64.86,female,black,16,34
437,174917.8485,65.81,male,white,18,41
438,65089.76379,72.05,male,hispanic,13,36
439,37562.85274,62.95,female,white,13,82
440,1000.542216,63.1,female,white,12,36
441,33354.94447,69.91,male,white,12,27
442,7358.506979,62.02,female,white,12,33
443,39763.76607,71.11,male,white,12,40
444,47665.41867,69.84,male,white,18,50
445,23255.71926,64.04,female,white,11,55
446,10546.27054,63.34,female,white,12,39
447,23266.38198,65.03,female,white,12,50
448,68461.37564,70.81,male,white,12,31
449,40750.23152,61.87,female,white,15,37
450,63533.92525,73.05,male,white,12,70
451,103313.6222,67.86,male,white,17,44
452,25439.90944,76.18,male,white,15,36
453,13715.90347,65.99,female,white,12,75
454,32795.51501,64.02,female,white,15,43
455,23259.28261,60.01,female,white,14,76
456,71637.55289,67.86,male,white,12,78
457,13712.76622,61.18,female,white,11,76
458,19065.51795,66.13,male,white,12,32
459,13735.40752,63.02,female,white,14,35
460,26440.49888,62.85,female,white,15,36
461,9579.845649,73.86,male,white,15,77
462,30173.63009,69.92,male,white,12,36
463,34396.1597,68.26,female,white,13,43
464,69369.6365,69.64,female,white,18,50
465,55664.3998,69.15,male,white,15,25
466,12747.04234,69.42,male,white,10,79
467,34385.44305,62.74,female,white,14,45
468,10233.0798,65.15,female,white,12,34
469,27082.7071,68.85,male,white,12,50
470,38087.32202,68.15,male,white,14,53
471,8935.979294,62.14,female,white,11,75
472,18489.6236,65.91,female,white,12,27
473,15920.5922,65.15,male,white,13,31
474,63608.3668,70.11,male,white,14,40
475,993.5154492,66,female,black,12,41
476,63604.63098,70.06,male,white,12,51
477,39163.51865,66.36,female,black,14,33
478,38187.40734,68.23,male,white,16,30
479,31761.68017,67.77,male,white,16,37
480,95330.54484,69.87,male,white,18,54
481,18482.85945,65.28,female,white,13,51
482,8950.515493,63.91,female,white,15,44
483,43919.14204,64.88,female,white,16,34
484,141452.6134,77.21,male,white,16,45
485,63665.59484,70.36,male,white,14,32
486,24859.81517,64.15,female,white,16,30
487,2581.04294,63.83,female,white,14,24
488,998.7267967,62.04,female,white,12,32
489,35995.18034,64.2,female,white,12,64
490,20086.17546,63.93,female,white,8,52
491,35968.84328,63.09,female,white,16,32
492,64581.95205,57.94,female,black,12,60
493,994.3239529,66,female,white,12,62
494,64599.9564,62.1,female,white,16,48
495,995.4860495,60.97,female,white,13,46
496,56649.76733,63.61,female,hispanic,14,57
497,12129.41841,64.22,female,white,12,32
498,23257.45318,61.35,female,white,12,41
499,24849.26451,64.06,female,white,12,60
500,997.0602405,66.31,female,black,14,35
501,10536.81647,66.3,female,white,13,38
502,18491.46325,68.48,female,black,12,45
503,16894.87158,63.71,female,white,13,35
504,1004.081672,62.42,female,white,12,63
505,31776.75086,71.11,male,white,14,45
506,12132.27314,62.1,female,white,12,77
507,60439.38407,67.95,male,white,9,50
508,46075.03539,67.96,male,white,9,62
509,32794.33258,62.48,female,white,10,48
510,13726.4773,63,female,white,12,61
511,57180.2849,69.28,male,white,16,55
512,3396.410788,67.46,female,white,12,48
513,67766.07102,63.84,female,white,18,33
514,39705.6238,69.96,male,white,12,26
515,20670.47568,69.3,male,white,10,24
516,47728.09913,69.4,male,black,11,55
517,11260.28579,69.05,male,white,12,27
518,50295.01023,59.96,female,black,12,52
519,24861.21883,66.62,female,black,12,46
520,987.1532881,59.86,female,white,18,45
521,79449.07802,66.77,male,white,16,53
522,7902.166814,66.39,male,white,15,24
523,1955.168187,69.87,female,black,12,22
524,23250.19815,63.89,female,black,8,55
525,64598.4563,59.72,female,other,18,39
526,38212.88619,68.14,male,white,18,40
527,35071.36648,73.49,male,black,12,28
528,31732.00845,71.98,male,white,8,40
529,32973.46426,63.69,female,white,12,42
530,19100.61268,66.85,male,white,13,71
531,66201.68697,66.88,female,white,13,44
532,20636.44544,70.68,male,black,9,54
533,1016.75165,63.23,female,white,12,29
534,95424.90844,73.21,male,white,16,35
535,38084.90994,69.94,male,white,16,29
536,60380.56196,69.85,male,white,16,40
537,5781.365367,71.49,female,white,14,31
538,21666.01785,66.05,female,white,12,34
539,7893.447455,75.04,male,white,12,25
540,32801.70962,59.83,female,white,14,41
541,34894.9421,71.97,male,white,12,32
542,990.3667897,63.08,female,black,16,27
543,44509.74314,75.11,male,black,9,59
544,35983.45572,59.68,female,white,12,45
545,47725.92514,72.54,male,black,12,48
546,48687.90131,64.93,female,black,12,36
547,47617.14218,67.12,male,white,16,35
548,51881.11373,60.77,female,white,12,73
549,42328.80079,69,female,white,17,47
550,35974.94676,64.05,female,white,14,38
551,39662.96206,70.18,male,white,12,37
552,18481.47382,68.24,female,white,10,28
553,21658.72637,62.09,female,white,12,57
554,16913.36768,64.15,female,white,15,46
555,1002.392336,67.76,female,white,12,28
556,20068.06073,68.05,female,white,12,49
557,56.37813386,66.18,male,white,13,61
558,12123.37893,64.22,female,white,11,68
559,90527.23782,72.92,male,white,14,41
560,57196.63019,73.38,male,white,16,41
561,46069.14454,68.71,male,hispanic,14,33
562,13727.17038,67.87,female,white,13,23
563,4831.589257,71.34,male,black,11,22
564,990.5360284,63.2,female,white,12,68
565,32809.72655,66.19,female,white,16,45
566,995.4754884,65.81,female,white,12,40
567,52457.29599,66.22,male,white,12,61
568,24864.53621,68.26,female,hispanic,12,72
569,25420.12962,69.66,male,white,12,37
570,8949.60197,62.17,female,white,12,82
571,13733.77487,65.98,female,white,14,47
572,51874.57374,63,female,black,16,38
573,23102.78119,74.97,male,white,12,28
574,21676.2739,66.86,female,white,12,33
575,1008.338792,62.22,female,white,10,24
576,12134.44673,63.24,female,white,9,29
577,80502.53204,65.44,female,black,18,69
578,20075.11247,68.84,female,black,12,39
579,30282.46731,71.33,male,white,14,65
580,15324.38108,62.23,female,white,12,59
581,32794.19836,64.92,female,black,12,39
582,87392.6632,72.34,male,hispanic,18,39
583,16890.3327,65.12,female,white,12,44
584,21661.0075,62.9,female,white,12,23
585,32809.66622,64.34,female,white,13,35
586,47708.89179,71.9,male,white,12,30
587,20074.66664,64.39,female,white,12,38
588,42347.16641,70.17,female,white,13,37
589,20882.68093,65.09,female,white,12,31
590,13706.6343,64.38,female,white,12,33
591,24851.84803,64.12,female,hispanic,16,36
592,103274.0935,67.05,male,white,14,29
593,39730.40078,73.13,male,white,10,25
594,12735.58415,73.06,male,hispanic,14,25
595,23877.34763,65.08,male,other,14,25
596,20079.30612,64.49,female,white,16,44
597,56642.75654,66.91,female,black,13,41
598,63557.97607,66.58,male,white,16,35
599,46114.99405,74.49,male,white,12,26
600,24856.16761,62.84,female,white,13,35
601,31818.62362,74.17,male,white,12,40
602,4706.620724,73.86,male,black,6,66
603,2596.373715,63,female,black,16,23
604,13711.44909,62.37,female,black,11,27
605,8962.850627,61.96,female,white,12,22
606,40751.64545,66.75,female,white,16,31
607,31860.27472,69.1,male,white,12,61
608,47719.33618,73.1,male,white,12,38
609,20084.31877,63.03,female,white,12,39
610,1009.543913,60.19,female,white,12,38
611,16895.39904,67.24,female,white,14,36
612,25455.21194,68.73,male,white,12,23
613,71550.40368,70.95,male,white,12,33
614,63567.36946,72.35,male,white,14,58
615,991.4023098,62.95,female,white,12,66
616,39688.59057,70.55,male,white,14,85
617,31203.65662,63.75,female,white,14,56
618,28969.50855,64.52,female,white,16,34
619,11052.26855,68.13,male,white,12,71
620,47697.1019,74.14,male,white,12,36
621,29620.40269,62.11,female,white,11,51
622,40743.02314,64.81,female,white,16,51
623,1001.392852,66.42,female,white,14,59
624,10535.51094,59.93,female,white,5,66
625,111355.5825,68.96,male,white,18,46
626,24855.03549,61.2,female,other,16,38
627,40753.32807,65.17,female,white,17,37
628,56670.32739,65.88,female,white,16,32
629,28615.28001,70.22,male,white,16,28
630,44568.58097,72.07,male,black,15,34
631,24860.36377,63.94,female,hispanic,11,25
632,34957.12217,71.36,male,hispanic,14,32
633,1007.211949,62.74,female,white,12,33
634,55693.83376,72.86,male,white,12,34
635,29624.85479,64.52,female,black,15,50
636,55760.76647,67.86,male,white,14,41
637,27068.22919,63.7,female,black,12,25
638,34920.53906,66.03,male,black,16,41
639,48697.06004,67.18,female,white,16,62
640,28032.20627,64.07,female,hispanic,12,31
641,40745.3417,64.09,female,black,14,40
642,16899.76576,61.94,female,white,12,55
643,63679.4041,69.43,male,white,12,41
644,20859.12534,62.89,female,white,12,67
645,55622.5795,71.29,male,white,15,49
646,984.5002135,61.15,female,hispanic,16,27
647,166981.0251,75.23,male,white,12,53
648,159024.2055,70.35,male,white,18,44
649,33381.77398,68.61,male,white,12,55
650,16898.58502,63.93,female,white,14,60
651,52454.80221,72.05,male,white,12,30
652,41354.43244,68.64,male,white,18,29
653,96398.22937,62.95,female,white,10,82
654,28625.32974,71.44,male,white,16,49
655,24843.18047,58.97,female,white,8,65
656,8031.699978,68.31,male,white,13,24
657,95370.55595,76.73,male,white,17,46
658,20078.70179,67.96,female,white,14,73
659,44610.20259,70.28,male,black,18,42
660,66786.55078,69.29,male,white,18,47
661,4194.424256,63.43,female,white,12,37
662,31855.10334,73.14,male,black,18,37
663,44600.17706,66.41,male,other,15,44
664,15997.5456,72.1,male,black,17,66
665,69.69149279,65.97,male,white,16,69
666,49365.219,72.29,male,black,12,35
667,28014.32091,69.15,female,black,13,41
668,26427.67562,67.11,female,white,12,43
669,56644.6467,65.88,female,white,15,42
670,5775.405812,67.13,female,white,12,30
671,26443.09305,68.29,female,white,18,43
672,56659.18883,64.77,female,black,15,46
673,43928.41646,62.55,female,black,17,37
674,39716.92771,68.99,male,white,17,33
675,1013.149459,62.04,female,white,14,82
676,63549.44625,70.38,male,white,16,45
677,72559.78299,66.23,female,white,16,47
678,22225.11089,65.96,male,white,12,27
679,40739.34077,66.04,female,white,14,41
680,63629.79982,71.66,male,white,12,46
681,54097.4887,68.61,male,white,12,39
682,63563.48522,65.94,male,white,12,38
683,55702.30145,69.1,male,white,14,32
684,20079.0535,59.9,female,hispanic,12,55
685,48710.91974,64.89,female,white,17,47
686,37562.05418,61.81,female,white,12,44
687,4169.617562,66.73,female,white,12,34
688,31923.2309,67.11,male,white,14,29
689,16911.02483,68.29,female,black,9,66
690,996.6721524,64.96,female,black,6,71
691,96404.23538,65.97,female,black,16,47
692,19051.34041,74.3,male,black,16,45
693,40745.07289,65.19,female,white,18,65
694,35966.4028,62.73,female,black,14,77
695,998.6128443,61.64,female,white,12,42
696,12787.90706,67.82,male,white,17,29
